From Files,To File,References,From Entities,To Entities
2,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/ICRFFile.hpp,68,10,10
8,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/InertialAxes.cpp,72,40,4
17,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/InertialAxes.hpp,28,28,2
1,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/ITRFAxes.hpp,14,9,3
18,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/ItrfCoefficientsFile.cpp,55,20,9
25,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/ItrfCoefficientsFile.hpp,352,53,25
1,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/LocalAlignedConstrainedAxes.cpp,1,1,1
2,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/LocalAlignedConstrainedAxes.hpp,126,22,9
2,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/MeanOfDateAxes.cpp,18,10,4
5,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/MeanOfDateAxes.hpp,10,10,2
4,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/MJ2000EcAxes.cpp,4,4,1
15,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/MJ2000EcAxes.hpp,20,20,2
7,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/MJ2000EqAxes.cpp,7,7,1
19,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/MJ2000EqAxes.hpp,47,45,2
1,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/MODEcAxes.cpp,1,1,1
5,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/MODEcAxes.hpp,10,10,2
1,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/MODEqAxes.cpp,1,1,1
6,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/MODEqAxes.hpp,11,11,2
1,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/MOEEcAxes.cpp,1,1,1
5,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/MOEEcAxes.hpp,10,10,2
1,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/MOEEqAxes.cpp,1,1,1
3,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/MOEEqAxes.hpp,8,8,2
7,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/ObjectReferencedAxes.cpp,72,33,13
14,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/ObjectReferencedAxes.hpp,189,55,9
1,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/TODEcAxes.cpp,1,1,1
5,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/TODEcAxes.hpp,10,10,2
2,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/TODEqAxes.cpp,2,2,1
7,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/TODEqAxes.hpp,12,12,2
1,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/TOEEcAxes.cpp,1,1,1
